symbol,sector,industry,market_cap_B,data_days,data_completeness,indicators_used,bullish_score,bearish_score,net_score,bullish_volume_spikes,bearish_volume_spikes,bull_price_above_20ma,bull_price_above_50ma,bull_price_above_200ma,bull_ma_alignment,bull_strong_volume,bull_volume_trend_up,bull_healthy_volume,bull_rsi_bullish,bull_macd_bullish,bull_higher_highs,bull_obv_uptrend,bear_price_below_20ma,bear_price_below_50ma,bear_price_below_200ma,bear_ma_bearish_alignment,bear_strong_bearish_volume,bear_volume_trend_down,bear_distribution_volume,bear_rsi_bearish,bear_macd_bearish,bear_lower_lows,bear_obv_downtrend
USAS,Basic Materials,Other Industrial Metals & Mining,0.29,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",100.0,0.0,100.0,3,0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
PMEC,Industrials,Specialty Business Services,0.03,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",100.0,0.0,100.0,3,1,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
TDUP,Consumer Cyclical,Internet Retail,0.25,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",100.0,0.0,100.0,3,0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
SWZ,Financial Services,Asset Management,0.11,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",100.0,0.0,100.0,3,1,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
OMIC,Healthcare,Medical Instruments & Supplies,0.05,214,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,0,1,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
AEVA,Technology,Software - Infrastructure,0.23,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,0,0,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
NUTX,Healthcare,Medical Care Facilities,0.26,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,4,0,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
AU,Basic Materials,Gold,15.21,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,2,0,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ICCC,Healthcare,Biotechnology,0.05,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,3,1,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
SMMT,Healthcare,Biotechnology,15.86,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,3,1,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ITRG,Basic Materials,Other Precious Metals & Mining,0.18,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,2,0,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
NB,Basic Materials,Other Industrial Metals & Mining,0.1,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,3,0,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
TMC,Basic Materials,Other Industrial Metals & Mining,0.53,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,2,1,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
AVTE,Healthcare,Biotechnology,0.08,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",100.0,7.6923076923076925,92.3076923076923,3,2,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
IDR,Basic Materials,Gold,0.17,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,3,1,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
SWKH,Financial Services,Asset Management,0.2,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",92.3076923076923,0.0,92.3076923076923,3,1,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
